Time,Event,note1,note2,note3,note6,note7
12:00 AM-12:30 AM,Sleep,yIn,nuqneH,Hov,Sop,DaH
12:30 AM-1:00 AM,Sleep,chaH,Hegh,qab,tlhIngan,tIn
1:00 AM-1:30 AM,Sleep,petaQ,tIn,quv,nom,legh
1:30 AM-2:00 AM,Sleep,maS,qet,jatlh,maH,jatlh
2:00 AM-2:30 AM,Sleep,juH,mach,puq,petaQ,Qong
2:30 AM-3:00 AM,Sleep,QoQ,yIn,maH,SuvwI,quv
3:00 AM-3:30 AM,Sleep,juH,juH,QoQ,jIH,SuvwI
3:30 AM-4:00 AM,Sleep,tlhIngan,juH,paq,tIn,SuvwI
4:00 AM-4:30 AM,Sleep,maS,QoQ,petaQ,batlh,taj
4:30 AM-5:00 AM,Sleep,QIt,petaQ,SuvwI,QIt,Sop
5:00 AM-5:30 AM,Sleep,tIn,targh,QIt,QIt,chaH
5:30 AM-6:00 AM,Sleep,jIH,maj,tIn,jIyajbe,maj
6:00 AM-6:30 AM,Sleep,vem,QeH,jIyaj,batlh,ghoj
6:30 AM-7:00 AM,Sleep,mach,tlhIH,qet,tlhIH,qet
7:00 AM-7:30 AM,Sleep,jIyajbe,Hov,chaH,nom,maj
7:30 AM-8:00 AM,Sleep,maH,legh,tlhutlh,jatlh,qet
8:00 AM-8:30 AM,Sleep,jatlh,jatlh,yIn,chaH,QaQ
8:30 AM-9:00 AM,Sleep,tlhutlh,paq,nom,qab,Hegh
9:00 AM-9:30 AM,Sleep,legh,vem,vaj,tlhIH,bel
9:30 AM-10:00 AM,Sleep,ghobe,nuqneH,paq,petaQ,QeH
10:00 AM-10:30 AM,Sleep,jatlh,taj,DaH,QoQ,jIyajbe
10:30 AM-11:00 AM,Sleep,Qapla,Sop,tlhutlh,QeH,ghobe
11:00 AM-11:30 AM,Sleep,paq,maS,legh,Duj,yIn
11:30 AM-12:00 PM,Sleep,batlh,jatlh,maj,vaj,Duj
12:00 PM-12:30 PM,Sleep,Sop,Hegh,jatlh,bel,ghobe
12:30 PM-1:00 PM,Sleep,jIyajbe,yIt,petaQ,vaj,qab
1:00 PM-1:30 PM,DS110,yIt,Hov,quv,SoH,ghoj
1:30 PM-2:00 PM,DS110,paq,vem,yIt,juH,bel
2:00 PM-2:30 PM,DS110,tIn,maj,tlhutlh,SuvwI,tIn
2:30 PM-3:00 PM,Sleep,maS,QIt,nom,Sop,qet
3:00 PM-3:30 PM,Sleep,yIn,paq,SoH,QeH,vem
3:30 PM-4:00 PM,Sleep,maH,chaH,chaH,qet,paq
4:00 PM-4:30 PM,Sleep,batlh,tlhIngan,taj,waq,Sop
4:30 PM-5:00 PM,Sleep,waq,legh,tlhIH,tlhIH,vem
5:00 PM-5:30 PM,Sleep,tlhIngan,tlhIH,HIja,mach,maH
5:30 PM-6:00 PM,Sleep,ghobe,Hov,tIn,QIt,SoH
6:00 PM-6:30 PM,Sleep,maH,tlhIngan,DaH,petaQ,tIn
6:30 PM-7:00 PM,Sleep,SoH,bel,mach,nom,jatlh
7:00 PM-7:30 PM,Sleep,maH,bel,jIyajbe,Hov,yIt
7:30 PM-8:00 PM,Sleep,vaj,vem,targh,mach,jIyaj
8:00 PM-8:30 PM,Sleep,tIn,SuvwI,maS,mach,mach
8:30 PM-9:00 PM,Sleep,qab,HIja,Qong,tlhIngan,yIt
9:00 PM-9:30 PM,Sleep,maS,maH,HIja,qab,juH
9:30 PM-10:00 PM,Sleep,targh,qet,mach,ghobe,Qong
10:00 PM-10:30 PM,Sleep,HIja,maj,nom,vaj,maj
10:30 PM-11:00 PM,Sleep,Hov,ghobe,petaQ,DaH,HIja
11:00 PM-11:30 PM,Sleep,tIn,Qong,yIn,vaj,ghoj
11:30 PM-12:00 AM,Sleep,Hegh,jIyaj,vaj,quv,jIyaj
